Country,Country_Code,Year,total_population,population_density_sq_km,urban_population_percent,rural_population_percent,electricity_access_percent,renewable_energy_consumption_percent,clean_fuel_tech_cooking_percent,co2_emissions_excl_lulucf
Paraguay,PRY,2016,6249126,15.72898565,61.026,38.974,98.4,62.5,66.4,7.5879
Paraguay,PRY,2017,6338660,15.95434181,61.3,38.7,99.3,60.1,67.2,8.4471
Paraguay,PRY,2018,6427382,16.17765417,61.585,38.415,99.6,59.2,67.7,8.7196
Paraguay,PRY,2019,6515058,16.39833375,61.879,38.121,99.7,60.1,68.1,8.4965
Paraguay,PRY,2020,6603739,16.62154291,62.183,37.817,99.7,61.5,68.3,7.9575
Peru,PER,2008,28719041,22.43675078,76.052,23.948,84.7,33.7,61.9,38.9829
Peru,PER,2009,28896811,22.57563359,76.241,23.759,86.4,32.9,63.9,41.9637
Peru,PER,2010,29086019,22.72345234,76.43,23.57,88.1,32.2,65.7,45.8354
Peru,PER,2011,29304086,22.89381719,76.617,23.383,89.7,30.6,67.8,49.1665
Peru,PER,2012,29550366,23.08622344,76.804,23.196,91.1,30.8,69.8,49.1075
Peru,PER,2013,29817919,23.29524922,76.989,23.011,92.1,28.4,71.7,50.1197
Peru,PER,2014,30115826,23.52798906,77.173,22.827,92.9,28.6,73.7,53.1694
Peru,PER,2015,30457600,23.795,77.357,22.643,93.9,27.4,75.5,54.7017
Peru,PER,2016,30866494,24.11444844,77.539,22.461,94.2,27.2,77.6,57.4518
Peru,PER,2017,31324637,24.47237266,77.72,22.28,94.8,27.6,79.5,55.1327
Peru,PER,2018,31897584,24.9199875,77.907,22.093,95.2,27.9,81.4,55.2877
Peru,PER,2019,32449303,25.35101797,78.099,21.901,95.6,27.1,83.3,58.1542
Peru,PER,2020,32838579,25.65513984,78.297,21.703,96.2,31.6,84.8,47.5498
Poland,POL,2008,38125759,124.4719523,61.116,38.884,99.8,8,100,324.7491
Poland,POL,2009,38151603,124.5644606,61.004,38.996,100,8.8,100,311.3923
Poland,POL,2010,38042794,124.2092007,60.892,39.108,100,9.5,100,329.2826
Poland,POL,2011,38063255,124.2962969,60.78,39.22,100,10.4,100,327.0922
Poland,POL,2012,38063164,124.3000588,60.654,39.346,100,10.9,100,319.8054
Poland,POL,2013,38040196,124.2291107,60.529,39.471,100,11.4,100,315.4796
Poland,POL,2014,38011735,124.1442732,60.403,39.597,100,11.6,100,302.9716
Poland,POL,2015,37986412,124.0615696,60.278,39.722,100,11.9,100,306.1332
Poland,POL,2016,37970087,124.008253,60.178,39.822,100,11.3,100,317.1916
Poland,POL,2017,37974826,124.0237304,60.105,39.895,100,11.1,100,330.7494
Poland,POL,2018,37974750,124.0315838,60.058,39.942,100,15.1,100,330.0904
Poland,POL,2019,37965475,124.0255954,60.037,39.963,100,15.6,100,312.3389
Poland,POL,2020,37899070,123.8005749,60.043,39.957,100,16.1,100,296.3334
Portugal,PRT,2008,10558177,115.4277577,59.359,40.641,100,23.2,100,59.153
Portugal,PRT,2009,10568247,115.3864723,59.964,40.036,100,24.9,100,58.3974
Portugal,PRT,2010,10573100,115.4394585,60.567,39.433,100,27.8,100,53.1664
Portugal,PRT,2011,10557560,115.2697893,61.167,38.833,100,27.2,100,51.3708
Portugal,PRT,2012,10514844,114.8034065,61.763,38.237,100,25.5,100,49.7211
Portugal,PRT,2013,10457295,114.1561287,62.352,37.648,100,30.2,100,48.1165
Portugal,PRT,2014,10401062,113.5417704,62.936,37.064,100,30.5,100,47.6466
Portugal,PRT,2015,10358076,113.0725196,63.514,36.486,100,27.2,100,51.674
Portugal,PRT,2016,10325452,112.7163842,64.086,35.914,100,29,100,50.5005
Portugal,PRT,2017,10300300,112.4418158,64.652,35.348,100,24.4,100,55.117
Portugal,PRT,2018,10283822,112.261936,65.211,34.789,100,27.5,100,51.0801
Portugal,PRT,2019,10286263,112.2885828,65.764,34.236,100,28.2,100,46.4038
Portugal,PRT,2020,10297081,112.406676,66.31,33.69,100,31.3,100,40.8004
Romania,ROU,2008,20537875,89.33394954,53.567,46.433,96.5,20.4,100,103.8612
Romania,ROU,2009,20367487,88.53119621,53.698,46.302,96.8,22.1,100,84.8545
Romania,ROU,2010,20246871,88.01074114,53.829,46.171,97.1,24.1,100,82.3001
Romania,ROU,2011,20147528,87.53324934,53.96,46.04,97.4,21.1,100,88.8281
Romania,ROU,2012,20058035,87.20126511,53.974,46.026,97.8,21.5,100,86.7375
Romania,ROU,2013,19983693,86.87429031,53.937,46.063,98.1,23.1,100,79.0999
Romania,ROU,2014,19908979,86.53068063,53.9,46.1,98.4,24.3,100,78.693
Romania,ROU,2015,19815616,86.12489569,53.887,46.113,98.8,23.7,100,79.9271
Romania,ROU,2016,19702267,85.63224531,53.9,46.1,99.1,24.4,100,78.2478
Romania,ROU,2017,19588715,85.13871262,53.936,46.064,100,23.4,100,81.2563
Romania,ROU,2018,19473970,84.63999478,53.998,46.002,99.8,23,100,82.3672
Romania,ROU,2019,19371648,84.19527121,54.084,45.916,100,23.5,100,80.5788
Romania,ROU,2020,19265250,83.73283206,54.194,45.806,100,24.1,100,75.4253
Slovenia,SVN,2008,2021316,100.3323704,52.209,47.791,100,17.6,100,18.8881
Slovenia,SVN,2009,2039669,101.2453712,52.433,47.567,100,19.6,100,16.8902
Slovenia,SVN,2010,2048583,101.6858266,52.658,47.342,100,20.1,100,17.1627
Slovenia,SVN,2011,2052843,101.8982925,52.883,47.117,100,19.1,100,16.0823
Slovenia,SVN,2012,2057159,102.1140492,53.108,46.892,100,20.2,100,15.5193
Slovenia,SVN,2013,2059953,102.2816783,53.332,46.668,100,22.5,100,15.5139
Slovenia,SVN,2014,2061980,102.3823237,53.557,46.443,100,22.9,100,14.1302
Slovenia,SVN,2015,2063531,102.4461092,53.781,46.219,100,21.4,100,14.2991
Slovenia,SVN,2016,2065042,102.5241783,54.02,45.98,100,21,100,15.0252
Slovenia,SVN,2017,2066388,102.6108719,54.273,45.727,100,19.7,100,15.3483
Slovenia,SVN,2018,2073894,102.9922926,54.541,45.459,100,20.6,100,15.3301
Slovenia,SVN,2019,2088385,103.7119346,54.822,45.178,100,20.9,100,14.8845
Slovenia,SVN,2020,2102419,104.4088814,55.118,44.882,100,22.7,100,13.5479
Spain,ESP,2008,45954106,92.12932237,77.976,22.024,100,9.7,100,342.716
Spain,ESP,2009,46362946,92.97506517,78.21,21.79,100,12.2,100,303.4514
Spain,ESP,2010,46576897,93.15193096,78.442,21.558,100,14.4,100,290.5488
Spain,ESP,2011,46742697,93.50783588,78.673,21.327,100,14.7,100,292.657
Spain,ESP,2012,46773055,93.50683713,78.902,21.098,100,15.8,100,286.6176
Spain,ESP,2013,46620045,93.2009456,79.133,20.867,100,16.9,100,259.9319
Spain,ESP,2014,46480882,92.92273645,79.366,20.634,100,17.3,100,257.3207
Spain,ESP,2015,46444832,92.95268592,79.602,20.398,100,16.3,100,273.2968
Spain,ESP,2016,46484062,93.04926296,79.84,20.16,100,16.7,100,264.5244
Spain,ESP,2017,46593236,93.27091015,80.08,19.92,100,15.2,100,281.0535
Spain,ESP,2018,46797754,93.66979208,80.321,19.679,100,16.9,100,274.3705
Spain,ESP,2019,47134837,94.3508089,80.565,19.435,100,16.7,100,257.113
Spain,ESP,2020,47365655,94.81538375,80.81,19.19,100,19.3,100,216.9768
Sweden,SWE,2008,9219637,22.63377962,84.746,15.254,100,43.2,100,52.1376
Sweden,SWE,2009,9298515,22.82742144,84.902,15.098,100,45.7,100,47.5792
Sweden,SWE,2010,9378126,23.02286274,85.056,14.944,100,44.7,100,53.5567
Sweden,SWE,2011,9449213,23.19737801,85.297,14.703,100,45.4,100,49.2663
Sweden,SWE,2012,9519374,23.36962,85.62,14.38,100,48.3,100,46.874
Sweden,SWE,2013,9600379,23.5684835,85.936,14.064,100,47.3,100,45.1071
Sweden,SWE,2014,9696110,23.80349865,86.247,13.753,100,48.6,100,43.786
Sweden,SWE,2015,9799186,24.05826177,86.553,13.447,100,51.9,100,44.1553
Sweden,SWE,2016,9923085,24.36244975,86.852,13.148,100,50.9,100,43.6925
Sweden,SWE,2017,10057698,24.69294198,87.146,12.854,100,51.8,100,43.3125
Sweden,SWE,2018,10175214,24.98145887,87.431,12.569,100,51.6,100,40.9315
Sweden,SWE,2019,10278887,25.23788794,87.708,12.292,100,52.9,100,40.2031
Sweden,SWE,2020,10353442,25.42094382,87.977,12.023,100,57.8,100,39.0794
Switzerland,CHE,2008,7647675,193.5413607,73.556,26.444,100,19.6,100,45.9985
Switzerland,CHE,2009,7743831,195.9777672,73.581,26.419,100,20,100,44.6352
Switzerland,CHE,2010,7824909,198.0326587,73.607,26.393,100,20.6,100,46.3149
Switzerland,CHE,2011,7912398,200.2498644,73.631,26.369,100,20.6,100,42.2793
Switzerland,CHE,2012,7996861,202.390548,73.653,26.347,100,21.9,100,43.5915
Switzerland,CHE,2013,8089346,204.7343366,73.674,26.326,100,21.8,100,44.601
Switzerland,CHE,2014,8188649,207.2507514,73.696,26.304,100,22.2,100,40.8946
Switzerland,CHE,2015,8282396,209.6266208,73.718,26.282,100,23.9,100,40.2179
Switzerland,CHE,2016,8373338,211.9315721,73.739,26.261,100,24.1,100,40.7745
Switzerland,CHE,2017,8451840,213.9184801,73.761,26.239,100,25,100,39.7921
Switzerland,CHE,2018,8514329,215.5000945,73.797,26.203,100,24.2,100,38.4872
Switzerland,CHE,2019,8575280,217.0427817,73.849,26.151,100,24.8,100,38.3837
Switzerland,CHE,2020,8638167,218.6344696,73.915,26.085,100,26.4,100,35.8595
Thailand,THA,2008,67619830,132.3569261,41.242,58.758,94.8,22.6,70.5,238.3048
Thailand,THA,2009,68121080,133.3380571,42.543,57.457,99,22.8,71.55,231.4285
Thailand,THA,2010,68579447,134.2352502,43.856,56.144,99.7,22.8,72.8,245.6832
Thailand,THA,2011,69007208,135.0725362,44.698,55.302,99.3,23,74,246.0704
Thailand,THA,2012,69436098,135.9120319,45.445,54.555,99.1,23.6,75.3,264.102
Thailand,THA,2013,69845114,136.712627,46.193,53.807,99.4,23.2,76.4,275.3196
Thailand,THA,2014,70216367,137.4393059,46.943,53.057,99.5,24.4,77.4,271.7352
Thailand,THA,2015,70540795,138.0743311,47.694,52.306,99.6,22.6,78.7,279.0886
Thailand,THA,2016,70859841,138.6988217,48.448,51.552,99.9,22.4,79.8,275.3767
Thailand,THA,2017,71160187,139.2867095,49.2,50.8,99.9,22.2,81,274.037
Thailand,THA,2018,71376079,139.7092897,49.949,50.051,99.8,23.7,82.2,271.251
Thailand,THA,2019,71522271,139.9954413,50.692,49.308,99.9,23.9,83.1,281.5515
Thailand,THA,2020,71641484,140.2287851,51.43,48.57,100,20.9,84.3,274.2991
Turkiye,TUR,2008,71051678,92.3192677,69.651,30.349,99.7,12.5,93.8,299.0327
Turkiye,TUR,2009,72039206,93.60238816,70.241,29.759,99.7,13.1,94,301.4417
Turkiye,TUR,2010,73142150,95.03547159,70.825,29.175,100,14.2,94.2,312.2163
Turkiye,TUR,2011,74223629,96.44066499,71.402,28.598,100,12.7,94.5,332.7711
Turkiye,TUR,2012,75175827,97.67788028,71.974,28.026,100,13,94.6,344.1787
Turkiye,TUR,2013,76147624,98.94056105,72.531,27.469,100,13.8,94.7,334.1108
Turkiye,TUR,2014,77181884,100.2844016,73.077,26.923,100,11.5,94.8,355.6857
Turkiye,TUR,2015,78218479,101.6312761,73.611,26.389,100,13.3,94.8,368.3596
Turkiye,TUR,2016,79277962,103.0078895,74.134,25.866,100,13.2,95,392.3754
Turkiye,TUR,2017,80312698,104.3523485,74.644,25.356,100,11.4,95,434.0801
Turkiye,TUR,2018,81407204,105.7744683,75.143,24.857,100,11.8,95.1,430.3928
Turkiye,TUR,2019,82579440,107.2975846,75.63,24.37,100,14.1,95.2,415.2444
Turkiye,TUR,2020,83384680,108.3438535,76.105,23.895,100,13.7,95.3,425.093
Ukraine,UKR,2008,46819175,80.81746703,68.325,31.675,99.8,2.7,94.2,347.5183
Ukraine,UKR,2009,46623731,80.48009908,68.502,31.498,99.9,3,94.3,288.222
Ukraine,UKR,2010,46456003,80.19057343,68.596,31.404,100,2.9,94.55,309.2208
Ukraine,UKR,2011,46307853,79.93484257,68.689,31.311,100,2.7,94.6,326.936
Ukraine,UKR,2012,46210056,79.76602914,68.782,31.218,99.9,2.9,94.9,318.8237
Ukraine,UKR,2013,46126770,79.62226403,68.875,31.125,100,3.5,95,308.9306
Ukraine,UKR,2014,45972380,79.35987157,68.968,31.032,100,3.5,95.1,265.0329
Ukraine,UKR,2015,45784896,79.03622711,69.061,30.939,100,4.2,95.3,221.5948
Ukraine,UKR,2016,45616832,78.74610644,69.154,30.846,100,5.5,95.2,221.9612
Ukraine,UKR,2017,45436041,78.43266183,69.246,30.754,100,6.5,95.1,200.128
Ukraine,UKR,2018,45208907,78.02710908,69.352,30.648,100,6.9,95.3,213.6814
Ukraine,UKR,2019,44957458,77.59312737,69.473,30.527,100,7.4,95.2,201.5269
Ukraine,UKR,2020,44680014,77.11428029,69.608,30.392,100,8.7,95.1,192.0138
United Kingdom,GBR,2008,61806995,255.4747034,80.757,19.243,100,2.4,100,531.3931
United Kingdom,GBR,2009,62276270,257.4144174,81.031,18.969,100,3,100,481.789
United Kingdom,GBR,2010,62766365,259.4401893,81.302,18.698,100,3.2,100,497.6151
United Kingdom,GBR,2011,63258810,261.4756748,81.57,18.43,100,4,100,457.8869
United Kingdom,GBR,2012,63700215,263.3001901,81.837,18.163,100,4.2,100,480.7009
United Kingdom,GBR,2013,64128273,265.0695366,82.102,17.898,100,5.2,100,467.4401
United Kingdom,GBR,2014,64602298,267.0288844,82.365,17.635,100,6.6,100,428.9045
United Kingdom,GBR,2015,65116219,269.1531393,82.626,17.374,100,7.7,100,414.2155
United Kingdom,GBR,2016,65611593,271.2007316,82.886,17.114,100,7.7,100,394.1968
United Kingdom,GBR,2017,66058859,273.049473,83.143,16.857,100,8.8,100,379.2145
United Kingdom,GBR,2018,66460344,274.7089819,83.398,16.602,100,10.2,100,373.3339
United Kingdom,GBR,2019,66836327,276.2630802,83.652,16.348,100,11.4,100,357.881
United Kingdom,GBR,2020,67081234,277.2753854,83.903,16.097,100,13.6,100,320.5414
United States,USA,2008,304093966,33.24368685,80.438,19.562,100,6.8,100,5689.6995
United States,USA,2009,306771529,33.53639923,80.606,19.394,100,7.3,100,5273.5107
United States,USA,2010,309327143,33.81578008,80.772,19.228,100,7.4,100,5521.9663
United States,USA,2011,311583481,34.06244395,80.944,19.056,100,8.4,100,5308.1164
United States,USA,2012,313877662,34.31324483,81.119,18.881,100,8.5,100,5088.2532
United States,USA,2013,316059947,34.55181319,81.299,18.701,100,8.9,100,5225.2858
United States,USA,2014,318386329,34.8061343,81.483,18.517,100,9,100,5244.399
United States,USA,2015,320738994,35.06332868,81.671,18.329,100,8.9,100,5133.5565
United States,USA,2016,323071755,35.31834714,81.862,18.138,100,9.3,100,5029.157
United States,USA,2017,325122128,35.54249482,82.058,17.942,100,9.7,100,4959.6319
United States,USA,2018,326838199,35.73009646,82.256,17.744,100,9.9,100,5117.5686
United States,USA,2019,328329953,35.89317567,82.459,17.541,100,10.2,100,4966.9703
United States,USA,2020,331526933,36.24267094,82.664,17.336,100,11,100,4466.7314
Russian Federation,RUS,2008,142742366,8.716095689,73.598,26.402,98.3,3.3,99.7,1744.612
Russian Federation,RUS,2009,142785348,8.718720244,73.642,26.358,98.4,3.6,99.7,1642.9749
Russian Federation,RUS,2010,142849468,8.722635522,73.687,26.313,99.3,3.3,99.6,1719.8096
Russian Federation,RUS,2011,143018195,8.732938284,73.732,26.268,99.2,3.2,99.6,1806.4603
Russian Federation,RUS,2012,143378447,8.754935894,73.791,26.209,100,3.2,99.5,1793.6343
Russian Federation,RUS,2013,143805638,8.781020915,73.863,26.137,100,3.6,99.5,1738.0707
Russian Federation,RUS,2014,144237223,8.807374242,73.95,26.05,100,3.3,99.6,1720.489
Russian Federation,RUS,2015,144640716,8.832012222,74.05,25.95,95.5,3.2,99.5,1726.8321
Russian Federation,RUS,2016,145015460,8.854894739,74.164,25.836,99.4,3.4,99.5,1700.3653
Russian Federation,RUS,2017,145293260,8.871857687,74.292,25.708,100,3.2,99.5,1730.5225
Russian Federation,RUS,2018,145398106,8.878259765,74.433,25.567,100,3.2,99.5,1806.8014
Russian Federation,RUS,2019,145453291,8.881629457,74.587,25.413,99.8,3.2,99.5,1877.0238
Russian Federation,RUS,2020,145245148,8.868919885,74.754,25.246,99.9,3.7,99.4,1789.2514
Indonesia,IDN,2008,240157903,127.9123689,48.335,51.665,92.7,41.1,28.45,393.8964
Indonesia,IDN,2009,243220028,129.5433111,49.134,50.866,93.6,38.2,34.2,409.8985
Indonesia,IDN,2010,246305322,131.1865936,49.914,50.086,94.2,36,40.6,434.5687
Indonesia,IDN,2011,249470032,132.8721744,50.595,49.405,94.8,32.4,46.6,496.3287
Indonesia,IDN,2012,252698525,134.5917272,51.276,48.724,96,30.1,52.6,503.4282
Indonesia,IDN,2013,255852467,136.2715728,51.955,48.045,96.5,30.6,58.1,469.3824
Indonesia,IDN,2014,258877399,137.8827053,52.635,47.365,97,29.3,63,505.126
Indonesia,IDN,2015,261799249,139.4389346,53.313,46.687,97.5,26.6,67.3,512.105
Indonesia,IDN,2016,264627418,140.9452677,53.989,46.011,97.6,27.8,71.6,506.2579
Indonesia,IDN,2017,267346658,142.3935832,54.659,45.341,98.1,25.2,75.5,542.0537
Indonesia,IDN,2018,269951846,143.7811527,55.325,44.675,98.5,22,78.9,596.9417
Indonesia,IDN,2019,272489381,145.1326889,55.985,44.015,98.9,19.8,82.1,636.7911
Indonesia,IDN,2020,274814866,146.3712836,56.641,43.359,97,21.9,84.8,594.277
Iran,IRN,2008,75514204,46.36300253,69.458,30.542,98.8,0.7,96.5,549.7509
Iran,IRN,2009,76457825,46.94235185,70.045,29.955,99.7,0.8,96.8,571.3448
Iran,IRN,2010,77420842,47.53360962,70.626,29.374,99.4,0.9,96.9,574.6116
Iran,IRN,2011,78383598,48.12470714,71.2,28.8,99.5,0.9,97,584.0948
Iran,IRN,2012,79370580,48.73067855,71.755,28.245,99.5,0.9,97.1,591.1841
Iran,IRN,2013,80414686,49.37172205,72.295,27.705,99.8,1,97.1,611.3338
Iran,IRN,2014,81502045,50.03932132,72.83,27.17,100,0.9,97.1,635.1866
Iran,IRN,2015,82619362,50.72531374,73.358,26.642,100,0.9,97.1,628.8444
Iran,IRN,2016,83812228,51.45769051,73.88,26.12,100,1,97,641.4569
Iran,IRN,2017,85026754,52.40477904,74.394,25.606,99.9,1,96.8,664.8995
Iran,IRN,2018,86117998,53.07734854,74.898,25.102,100,1,96.6,676.5598
Iran,IRN,2019,87051648,53.65278767,75.391,24.609,100,1,96.5,664.1015
Iran,IRN,2020,87723443,54.06683698,75.874,24.126,100,0.9,96.4,656.7982
Kazakhstan,KAZ,2008,16426525,6.084574212,56.682,43.318,100,1.1,90.5,253.123
Kazakhstan,KAZ,2009,16619846,6.156182539,56.755,43.245,100,1.3,91.2,225.3866
Kazakhstan,KAZ,2010,16836810,6.236548505,56.827,43.173,100,1.4,91.6,241.989
Kazakhstan,KAZ,2011,17066002,6.321443864,56.9,43.1,99.8,1.4,92.1,258.3271
Kazakhstan,KAZ,2012,17306106,6.410381153,56.973,43.027,100,1.3,92.4,256.2936
Kazakhstan,KAZ,2013,17556502,6.503130718,57.046,42.954,100,1.2,92.8,275.2521
Kazakhstan,KAZ,2014,17816285,6.599357336,57.118,42.882,100,1.3,93,228.4569
Kazakhstan,KAZ,2015,18084169,6.698584658,57.191,42.809,100,1.7,93.2,201.3691
Kazakhstan,KAZ,2016,18363600,6.802089121,57.264,42.736,100,2.1,93.4,211.5262
Kazakhstan,KAZ,2017,18651931,6.908890247,57.336,42.664,100,2,93.4,224.3208
Kazakhstan,KAZ,2018,18932727,7.012900322,57.428,42.572,100,1.9,93.4,225.9918
Kazakhstan,KAZ,2019,19209555,7.115440605,57.54,42.46,100,1.9,93.4,214.6891
Kazakhstan,KAZ,2020,19482117,7.216400711,57.671,42.329,100,1.8,93.5,222.677
Bolivia,BOL,2008,9850858,9.093379489,65.535,34.465,84.7,21.3,72.9,12.7492
Bolivia,BOL,2009,10016275,9.246076802,65.984,34.016,86.8,20.6,74.4,13.5964
Bolivia,BOL,2010,10182345,9.399376904,66.43,33.57,88,19.9,75.8,14.7076
Bolivia,BOL,2011,10348929,9.553151482,66.874,33.126,88.3,18.1,77.2,16.0021
Bolivia,BOL,2012,10515807,9.707197452,67.315,32.685,90.4,17.4,78.6,16.9694
Bolivia,BOL,2013,10682608,9.861172344,67.699,32.301,89.5,16,79.9,18.024
Bolivia,BOL,2014,10848888,10.0146663,68.047,31.953,90,15,81.2,19.309
Bolivia,BOL,2015,11014705,10.16773285,68.393,31.607,91.5,14.2,82.35,19.8345
Bolivia,BOL,2016,11180020,10.32033601,68.738,31.262,91.8,13.6,83.5,21.2787
Bolivia,BOL,2017,11344587,10.47224868,69.08,30.92,91.8,14.3,84.6,21.648
Bolivia,BOL,2018,11508368,10.6234358,69.425,30.575,92.8,14.3,85.6,21.851
Bolivia,BOL,2019,11671386,10.77391858,69.773,30.227,95.1,13.5,86.6,21.8707
Bolivia,BOL,2020,11816299,10.90768854,70.123,29.877,97.2,16.9,87.4,18.4606
Uruguay,URY,2008,3302177,18.86742658,93.998,6.002,98.8,44.1,100,7.8669
Uruguay,URY,2009,3310091,18.91264427,94.209,5.791,99.1,44.6,100,7.7867
Uruguay,URY,2010,3318580,18.9611473,94.414,5.586,99.3,53.3,100,6.4131
Uruguay,URY,2011,3326825,19.0082562,94.612,5.388,99.2,49.7,100,7.7424
Uruguay,URY,2012,3335401,19.05725631,94.739,5.261,99.6,47.9,100,8.8178
Uruguay,URY,2013,3345337,19.11402697,94.843,5.157,99.6,51.9,100,7.5959
Uruguay,URY,2014,3356334,19.17685979,94.945,5.055,99.7,56.7,100,6.6612
Uruguay,URY,2015,3368017,19.24361216,95.045,4.955,99.7,59.4,100,6.837
Uruguay,URY,2016,3379283,19.30798194,95.144,4.856,99.7,60.3,100,6.7355
Uruguay,URY,2017,3388438,19.36029025,95.24,4.76,99.8,60.8,100,6.341
Uruguay,URY,2018,3394534,19.39512056,95.334,4.666,99.8,60.8,100,6.8315
Uruguay,URY,2019,3397206,19.41038738,95.426,4.574,99.9,59.3,100,7.1178
Uruguay,URY,2020,3398968,19.42045481,95.515,4.485,100,61.2,100,6.8958
Panama,PAN,2008,3500648,47.08969599,64.56,35.44,86.3,23.4,100,7.2555
Panama,PAN,2009,3564381,47.94701372,64.851,35.149,87,20.4,100,8.6731
Panama,PAN,2010,3628535,48.80999462,65.14,34.86,86.9,20.6,100,9.1776
Panama,PAN,2011,3693505,49.68395211,65.437,34.563,88.6,19.7,100,9.9955
Panama,PAN,2012,3759256,50.56841539,65.741,34.259,89.3,21.2,100,10.4516
Panama,PAN,2013,3825329,51.45721012,66.052,33.948,89.1,20.7,100,10.2621
Panama,PAN,2014,3892101,52.5108068,66.371,33.629,90.8,19.8,100,10.7718
Panama,PAN,2015,3960035,53.42734754,66.696,33.304,91.6,22,100,10.6311
Panama,PAN,2016,4029086,54.35895845,67.027,32.973,92.4,22.1,100,10.6644
Panama,PAN,2017,4098707,55.29825958,67.365,32.635,93.7,23.6,100,10.1457
Panama,PAN,2018,4167860,56.18576436,67.709,32.291,93.8,24.5,100,9.9267
Panama,PAN,2019,4234700,57.08681585,68.059,31.941,93.9,19,100,13.1056
Panama,PAN,2020,4293261,57.87626045,68.414,31.586,95.3,28.5,100,9.5971
Bulgaria,BGR,2008,7492561,68.98592211,71.622,28.378,92.3,9.9,94.236,54.4064
Bulgaria,BGR,2009,7444443,68.57445652,71.963,28.037,92.9,11.6,94.691,46.4564
Bulgaria,BGR,2010,7395599,68.12453021,72.302,27.698,93.5,14.3,95.177,49.4329
Bulgaria,BGR,2011,7348328,67.68909359,72.638,27.362,94.1,13.2,95.582,54.7156
Bulgaria,BGR,2012,7305888,67.2981577,72.975,27.025,94.7,15.6,95.955,49.871
Bulgaria,BGR,2013,7265115,66.92257738,73.313,26.687,95.3,18.2,96.364,44.4068
Bulgaria,BGR,2014,7223938,66.54327561,73.651,26.349,95.9,17.1,96.714,47.2492
Bulgaria,BGR,2015,7177991,66.120035,73.99,26.01,96.6,17.9,97.009,49.7792
Bulgaria,BGR,2016,7127822,65.65790346,74.329,25.671,97.3,17.7,97.3,47.0982
Bulgaria,BGR,2017,7075947,65.18005711,74.669,25.331,98.1,17.1,97.536,49.2263
Bulgaria,BGR,2018,7025037,64.71109985,75.008,24.992,98.7,19.6,97.755,46.2676
Bulgaria,BGR,2019,6975761,64.25719418,75.347,24.653,99.2,19.3,97.945,44.5676
Bulgaria,BGR,2020,6934015,63.87265107,75.686,24.314,99.7,21.1,98.1,39.3622
El Salvador,SLV,2008,6029297,290.9892375,63.678,36.322,91,31.5,73.1,7.0862
El Salvador,SLV,2009,6048279,291.9053571,64.57,35.43,91.1,32.2,75.2,6.8948
El Salvador,SLV,2010,6068249,292.8691602,65.452,34.548,91.6,32.6,77,6.7208
El Salvador,SLV,2011,6090127,293.9250483,66.325,33.675,92.6,29.5,78.6,7.0198
El Salvador,SLV,2012,6113975,295.0760135,67.187,32.813,93.7,30.3,80.4,6.9949
El Salvador,SLV,2013,6138839,296.2760135,68.036,31.964,95,27.5,82.1,6.6284
El Salvador,SLV,2014,6162955,297.4399131,68.874,31.126,95.1,24,83.8,6.8083
El Salvador,SLV,2015,6183676,298.4399614,69.7,30.3,95.4,21,85.3,7.2629
El Salvador,SLV,2016,6200800,299.2664093,70.501,29.499,96,20.7,87,7.3236
El Salvador,SLV,2017,6213533,299.8809363,71.275,28.725,96.8,25,88.3,6.6285
El Salvador,SLV,2018,6219807,300.1837355,72.023,27.977,97,23.2,89.7,7.1002
El Salvador,SLV,2019,6222318,300.3049228,72.746,27.254,97.4,19.4,90.9,8.1035
El Salvador,SLV,2020,6234673,300.9012066,73.444,26.556,99.7,23.7,91.9,6.6591
Iceland,ISL,2008,317414,3.166224439,93.395,6.605,100,74,100,3.7862
Iceland,ISL,2009,318499,3.177047382,93.511,6.489,100,74.7,100,3.8286
Iceland,ISL,2010,318041,3.172478803,93.574,6.426,100,76,100,3.7373
Iceland,ISL,2011,319014,3.182184539,93.587,6.413,100,77.1,100,3.6033
Iceland,ISL,2012,320716,3.199162095,93.6,6.4,100,77.7,100,3.6509
Iceland,ISL,2013,323764,3.229566085,93.633,6.367,100,76.8,100,3.7362
Iceland,ISL,2014,327386,3.265695761,93.667,6.333,100,77.6,100,3.5613
Iceland,ISL,2015,330815,3.299900249,93.7,6.3,100,78,100,3.6549
Iceland,ISL,2016,335439,3.346024938,93.735,6.265,100,80.9,100,3.2142
Iceland,ISL,2017,343400,3.425436409,93.773,6.227,100,80.8,100,3.3148
Iceland,ISL,2018,352721,3.498175146,93.813,6.187,100,81.4,100,3.2955
Iceland,ISL,2019,360563,3.575949618,93.855,6.145,100,81.7,100,3.1653
Iceland,ISL,2020,366463,3.634463949,93.898,6.102,100,82.9,100,3.0602
Moldova,MDA,2008,2868833,99.86538796,42.682,57.318,99.1,4.9,89,7.7632
Moldova,MDA,2009,2865213,99.73937411,42.651,57.349,99.2,4.8,90.7,7.6323
Moldova,MDA,2010,2862354,99.77878482,42.62,57.38,99.3,20,92,8.3894
Moldova,MDA,2011,2860699,99.72109318,42.589,57.411,99.4,20.4,93.1,8.4266
Moldova,MDA,2012,2860324,99.67327595,42.558,57.442,99.5,22.1,94.1,8.2455
Moldova,MDA,2013,2859558,99.57718425,42.527,57.473,99.6,23.8,94.9,7.3433
Moldova,MDA,2014,2857815,99.51648849,42.496,57.504,99.8,24.3,95.65,7.885
